,Name,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,Birao,6,CF,1584231688,17,10.28,22.79,296.94,4.02
335,Guiglo,92,CI,1584231690,86,6.55,-7.5,297.88,0.8
336,Dawlatabad,87,AF,1584231692,40,36.41,64.91,285.64,4.87
337,Tautira,40,PF,1584231454,59,-17.73,-149.15,305.15,2.1
338,Zhigansk,100,RU,1584231696,95,66.77,123.37,252.38,10.67
339,Naze,20,JP,1584231698,39,28.37,129.48,290.15,5.1
340,Alice Springs,90,AU,1584231418,41,-23.7,133.88,297.15,4.1
341,Tucuruí,95,BR,1584231665,93,-3.77,-49.67,297.83,2.02
342,Marzuq,42,YE,1584231707,62,14.4,46.47,291.21,2.38
343,Santa Cruz del Sur,2,CU,1584231709,76,20.71,-78.0,299.75,2.74
344,Looc,8,PH,1584231711,81,12.26,121.99,298.93,3.98
345,Kuvshinovo,51,RU,1584231713,72,57.03,34.17,266.77,3.68
346,Coahuayana Viejo,75,MX,1584231715,78,18.73,-103.68,298.15,5.1
347,Mangalore,9,IN,1584231718,78,12.87,74.88,298.15,1.5
348,Miguel Hidalgo,90,MX,1584231720,36,19.42,-99.2,306.15,8.2
349,Nizhniye Vyazovyye,37,RU,1584231722,92,55.8,48.52,273.15,2.0
350,Lubumbashi,99,CD,1584231724,98,-11.66,27.48,291.32,1.25
351,Mwinilunga,100,ZM,1584231726,98,-11.74,24.43,290.7,0.65
352,Mocuba,61,MZ,1584231728,98,-16.84,36.99,294.65,1.32
353,Grand-Santi,88,GF,1584231730,54,4.25,-54.38,301.92,3.51
354,Bodden Town,40,KY,1584231463,83,19.28,-81.25,300.15,5.1
355,Luganville,99,VU,1584231735,88,-15.53,167.17,298.42,3.66
356,Oranjemund,4,NA,1584231737,93,-28.55,16.43,289.5,2.98
357,Nouadhibou,0,MR,1584231739,72,20.93,-17.03,292.15,8.2
358,Oktyabr'skoye,100,RU,1584231741,96,43.06,44.74,280.44,2.9
359,Serenje,100,ZM,1584231743,97,-13.23,30.24,291.24,1.51
360,Utete,86,TZ,1584231745,97,-7.99,38.76,297.32,0.5
361,Nizhneangarsk,100,RU,1584231747,97,55.78,109.55,262.37,0.84
362,Licata,2,IT,1584231750,93,37.11,13.95,285.37,1.5
363,Dingle,23,PH,1584231559,76,11.0,122.67,298.39,3.53
364,Portland,75,US,1584231556,56,45.52,-122.68,278.71,11.3
365,Zarubino,100,RU,1584231756,92,42.63,131.09,272.98,4.93
366,Tura,100,IN,1584231760,77,25.52,90.22,291.69,2.37
